OLD,NEW,TYPE
14,15,B
15,14,B
23,24,B
24,25,B
25,26,B
26,23,B
28,29,B
29,30,B
30,31,B
31,28,B
35,36,B
36,38,B
37,40,B
38,42,B
39,43,B
40,44,B
41,45,B
42,46,B
43,47,B
44,48,B
45,49,B
46,50,B
47,51,B
48,52,B
49,53,B
50,54,B
51,55,B
52,56,B
53,57,B
54,58,B
55,59,B
56,102,B
57,103,B
58,104,B
59,105,B
60,106,B
61,107,B
62,108,B
63,109,B
64,110,B
65,111,B
66,112,B
67,113,B
68,114,B
69,115,B
70,116,B
71,117,B
72,118,B
73,119,B
74,120,B
75,121,B
76,122,B
77,123,B
78,124,B
79,125,B
80,63,B
81,64,B
82,65,B
83,66,B
84,96,B
85,97,B
86,98,B
87,99,B
88,100,B
89,101,B
90,76,B
91,77,B
92,78,B
93,79,B
94,80,B
95,81,B
96,82,B
97,83,B
98,84,B
99,85,B
100,86,B
101,87,B
102,89,B
103,88,B
104,91,B
105,90,B
106,92,B
107,93,B
108,94,B
109,95,B
110,67,B
111,68,B
112,69,B
113,70,B
114,71,B
115,72,B
116,73,B
117,74,B
118,75,B
119,61,B
120,60,B
121,62,B
rotz,z,A
roty,y,A
rotx,x,A
x,rotx,A
y,roty,A
z,rotz,A
